,Passage
188,80s sitcom Head Class took place fictional Millard Fillmore High School
189,ESPN anchor Neil Everett often makes references Millard Fillmore hosting Sportscenter
190,comic strip Mallard Fillmore named president
191,2007 George Pendle wrote Remarkable Millard Fillmore fake biography based real events happened Fillmores life Pendle mixes imagined events Fillmore fighting Battle Alamo equally improbable actually true events fact Fillmores greatgrandfather John Fillmore abducted pirates organized mutiny aboard pirate ship killed pirate captain sailing ship back Boston harbor
192,one episode American Dragon statue Millard Fillmore shown parents parentteacher meeting Professor Rokwood
193,episode Johnny Bravo Johnny partially delirious state speaks statue Millard Filmore
194,Millard Fillmore postage stamp
195,1855 Fillmore classical education refused honorary doctorate civil law Oxford University claiming would accept degree could read noted university diplomas inscribed Latin days
196,Queen Victoria said Millard Fillmore handsomest man shed ever seen
197,Fillmore bookworm found White House devoid books initiated White House library
198,2007 Millard Fillmore remains last US president neither Democrat Republican although Abraham Lincoln reelected 1864 running National Union Party ticket Democrat Andrew Johnson running mate
199,Fillmore first US President born death former president born three weeks George Washingtons death December 14 1799
200,Fillmore first two presidents indentured servant clothmaker
201,United States presidential election 1848
202,United States presidential election 1856
203,Holt Michael F Millard Fillmoreâ American Presidency EdAlan BrinkleyDavis Dyer2004145151
204,Deusen Van Glydon American Presidency Encyclopedia Americana Accessed 9 May 2007
205,Blaise Pascal June 19 1623 August 19 1662 French mathematician physicist religious philosopher child prodigy educated father Pascals earliest work natural applied sciences made important contributions construction mechanical calculators study fluids clarified concepts pressure vacuum generalizing work Evangelista Torricelli Pascal also wrote defense scientific method
206,mathematician first order Pascal helped create two major new areas research wrote significant treatise subject projective geometry age sixteen corresponded Pierre de Fermat 1654 later probability theory strongly influencing development modern economics social science
207,Following mystical experience late 1654 abandoned scientific work devoted philosophy theology two famous works date period Lettres provinciales PensÃes Pascal suffered ill health throughout life died two months 39th birthday
208,Born ClermontFerrand Auvergne region France Blaise Pascal lost mother Antoinette Begon age three father Ãtienne Pascal 1588â1651 local judge member noblesse de robe also interest science mathematics Blaise Pascal brother Jacqueline Pascal youngest sibling Gilberte eldest
209,1631 shortly death wife Ãtienne Pascal moved children Paris Ãtienne never remarried decided alone would educate children showed extraordinary intellectual ability particularly son Blaise young Pascal showed amazing aptitude mathematics science age eleven composed short treatise sounds vibrating bodies Ãtienne responded forbidding son pursue mathematics age fifteen harm study Latin Greek One day however Ãtienne found Blaise twelve writing independent proof sum angles triangle equal two right angles piece coal wall boy allowed study Euclid perhaps importantly allowed sit silent onlooker gatherings greatest mathematicians scientists Europeâsuch Roberval Desargues Mydorge Gassendi Descartesâin monastic cell PÃre Mersenne
210,early Pascaline display MusÃe des Arts et MÃtiers Louvre Museum Paris
211,Particularly interest Pascal work Desargues conic sections Following Desarguess thinking sixteenyearold Pascal produced means proof short treatise called Mystic Hexagram conic sections Essai pour les coniques Essay Conics sent first serious work mathematicsâto PÃre Mersenne Paris known still today Pascals theorem
212,Briefly explained thus
213,2 Take simple plane slice cone two going across
214,3 plane straight across section cut circle
